ID,Image,Year,Text,Alcohol Volume,Alcohol Proof,Alcohol Type,Dimensions,Distributed By,Distributed By Location,Bottled By,Bottled By Location,Distilled By,Distilled By Location,Notes,Grade,Origin,Owned,Sold
1,Photo,1930s-40s,"Chesterbrook Whiskey, Colored and Flavored With Wood Chips, This Whiskey Stored 2 Months in Reused Cooperage",,100,Whiskey,"2""x2.75""",,,The American Liquor Company,"Boston, Mass.",,,"All the labels from The American Liquor Company have the following two strings: ""W-I-2"" and ""R-20"". They might be regulatory in some way?

Seems to be popular as a framed print?
https://www.amazon.com/Framed-Art-Chesterbrook-Whiskey-Vintage/dp/B08J27KX8X?th=1
https://www.amazon.com/Chesterbrook-Whiskey-Vintage-Booze-Labels/dp/B08GPJWCWX?th=1
https://www.walmart.com/ip/Chesterbrook-Whiskey-Print-Canvas-12x18/39642402
https://www.wayfair.com/decor-pillows/pdp/global-gallery-chesterbrook-whiskey-framed-vintage-advertisement-vhy32885.html",,Facebook Marketplace,1,0
2,Photo,,Adams Brand ,,,,"2.25""x3""",Quincy Wholesale Grocery,"Quincy, Mass",,,,,No leads whatsoever,,Facebook Marketplace,1,0
3,Photo,,Airport Straight Whiskey,Half Pint,90,Whiskey,"2""x2.75""",,,The American Liquor Company,"Boston, Mass.",,,,,Facebook Marketplace,1,0
4,Photo,,Biltmore Distilled Dry Gin,,80,Gin,"2.25""x3.5""",,,The American Liquor Company,"Boston, Mass.",,,"Contains a stamp saying ""For Intrastate Sale"" almost aesthetically pleasingly placed on the bottom edge.",,Facebook Marketplace,1,0
5,Photo,,Blue Hills Brand Bourbon Whiskey,Half Pint,80,Bourbon,"2""x2.75""",,,The American Liquor Company,"Boston, Mass.",,,,,Facebook Marketplace,1,0
6,Photo,,Blue Hills Brand Bourbon Whiskey,Half Pint,80,Bourbon,"4""x5""",,,The American Liquor Company,"Boston, Mass.",,,"Same exact design as ID 5, just larger",,Facebook Marketplace,1,0
7,Photo,,Brookledge Whiskey,,80,Whiskey,"2.375""x3.25""",,,The American Liquor Company,"Boston, Mass.",,,,,Facebook Marketplace,1,0
8,Photo,,Edgewood Club Blended Whiskey,,86,Whiskey,"2.25""x3.25""",,,The American Liquor Company,"Boston, Mass.",,,,,Facebook Marketplace,1,0
9,Photo,,"Elkridge Special Trademark Whiskey, A Blend of Old Straight Whiskies of the Highest Grades & Fully Matured Before Bottling.",8 oz.,,Whiskey,"2.5""x2.25""",,,,,Old York Distillery,"Louisville, Kentucky",,,Facebook Marketplace,1,0
10,Photo,,Gold Seal Distilled Dry Gin,,90,Gin,"2""x2.75""",,,The American Liquor Company,"Boston, Mass.",,,,,Facebook Marketplace,1,0
11,Photo,,"Harry's Known Throughout The World, GHQ, Kentucky Straigh Bourbon Whiskey, This fine Kentuky Whiskey is made to our specifications and we are entirely responsible for it's fine quality. We assure satisfaction",,,Bourbon,"4.5""x5.75""",Harry's Liquor Store,"The Town Center, 4th & M Street, S.W. ME 8-5080, Washington, D.C.",,,,,R HLS in bottom left,,Facebook Marketplace,1,0
12,Photo,,Magwook Club Straight Rye Whiskey,Half Pint,100,Whiskey,"2""x2.75""",,,The American Liquor Company,"Boston, Mass.",,,,,Facebook Marketplace,1,0
13,Photo,,"Kinsey's Pennsylvania Rye, Maywood Brand Straight Rye Whiskey",,,Whiskey,"2.125""x3""",,,The American Liquor Company,"Boston, Mass.",,,,,Facebook Marketplace,1,0
14,Photo,,"Merit Brand, Baltimore Straight Rye Whiskey",,90,Whiskey,"2.5""x3.5""",Economy Grocery Stores Corp.,"Boston, Mass.",,,,,,,Facebook Marketplace,1,0
15,Photo,1937,Mountain Corn Corn Whiskey,,90,Whiskey,"2.625""x3.625""","Ben Arnold Co., Inc. Columbia S.C. ",,,,,,,,Facebook Marketplace,1,0
16,Photo,,"Paco Silver Streak Alcohol, This Package is Sold for Mechanical Chemical or Medicinal Purposes Only",,190,Cleaning,"2""x2.75""",,,The American Liquor Company,"Boston, Mass.",,,A-20 instead of R-20 on this one. Potentially indicating that this one is not for drinking?,,Facebook Marketplace,1,0
17,Photo,,Walnut Hill Rye Whiskey,1/2 Pint,90,Whiskey,"2""x2.75""",,,The American Liquor Company,"Boston, Mass.",,,,,Facebook Marketplace,1,0
18,Photo,,Rainbow Straight Rye Whiskey,Half Pint,90,Whiskey,"2""x2.75""",,,The American Liquor Company,"Boston, Mass.",,,,,Facebook Marketplace,1,0
19,Photo,,"Royal Knight Imported Distilled Dry Gin, Distilled From 100% Cane Neutral Spirits",,85,Gin,"2.5""x3.25""",,,The American Liquor Company,"Boston, Mass.",,,,,Facebook Marketplace,1,0
20,Photo,,Superior Brand,,,,"2.25""x2.25""",,,,,,,No leads of any kind yet,,Facebook Marketplace,1,0
21,Photo,,The Best Baltimore Rye Whiskey,,90,Whiskey,"2.5""x3""","New Bedford Wholesale Liquor Co., Inc.","New Bedford, Mass.",,,,,Same W-I-2 and R-20 as the other labels bottled by the American Liquor Company from Boston. Potentially bottled by them,,Facebook Marketplace,1,0
22,Photo,,"Royal Crest Brand Whiskey, Colored and Flavored With Wood Chips, This Whiskey Stored 1 Month in Reused Cooperage",,80,Whiskey,"2.25""x3.25""",,,The American Liquor Company,"Boston, Mass.",,,,,Facebook Marketplace,1,0
23,Photo,1930s,River Bank Blended Whiskey,Half Pint,90,Whiskey,"2""x2.75""",,,The American Liquor Company,"Boston, Mass.",,,,,Facebook Marketplace,1,0
24,Photo,,Silver Lake Straight Rye Whiskey,Half Pint,90,Whiskey,"2""x2.75""",,,The American Liquor Company,"Boston, Mass.",,,,,Facebook Marketplace,1,0
25,Photo,1940s,Seven-Thirty Express Blended Whiskey,Half Pint,90,Whiskey,"2""x2.75""",,,The American Liquor Company,"Boston, Mass.",,,,,Facebook Marketplace,1,0
26,Photo,1930s,Royal Knight Blended Whiskey,Half Pint,90,Whiskey,"2""x2.75""",,,The American Liquor Company,"Boston, Mass.",,,,,Facebook Marketplace,1,0
27,Photo,1960s,"Charcoal Filtered, All Bourbon All Whishey, Every Drop The Finest, Black Saddle Bourbon Is Rich In Character and Mellow in Taste. There is No Finer Bourbon Available Anywhere., Black Saddle Kentucky Straight Bourbon Whiskey, The Product of a Tradition Going Back To When Kentucky Was The ""West"", Made in the Limestone Area of Kentucky - Stronghold of Whiskey ""Know-How"" - Source of the World's Finest Bourbon.",,,Bourbon,"6""x4.5""",Stang Kelly,"Joliet, Illinois",,"Joliet, Illinois",,,,,Facebook Marketplace,1,0
