Book Id,Title,Author,Additional Authors,ISBN,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,Cover Image URL
12875258,Tell the Wolves I'm Home,Carol Rifka Brunt,,0679644199,5,4.03,Random House,Hardcover,360,2012,2012,4/9/2024,6/7/2023,,,read,,,,1,0,"https://m.media-amazon.com/images/I/617a1t71fCL._AC_UF1000,1000_QL80_.jpg"
61539,The Structure of Scientific Revolutions,Thomas S. Kuhn,,0226458083,4.5,4.03,University of Chicago Press,Paperback,226,1996,1962,4/6/2024,3/20/2023,,,read,,,,1,0,"https://m.media-amazon.com/images/I/41mLzs+7fHL._AC_UF1000,1000_QL80_.jpg"
857502,Concerning the Spiritual in Art,Wassily Kandinsky,,0486234118,4,3.84,Dover Publications,Paperback,80,1977,1912,4/2/2024,3/18/2024,,,read,,,,1,0,"https://m.media-amazon.com/images/I/61I0rYRAASL._AC_UF1000,1000_QL80_.jpg"
5583487,Seven Nights (A New Directions Book),Jorge Luis Borges,,0811218384,4.5,4.31,New Directions,Paperback,128,2009,1977,3/20/2024,3/17/2024,,,read,"I do really love reading lectures, and Borges is a master at delivering them. Nightmares was my favorite of this collection, but Poetry and Thousand and One Dreams have parts that will stick with me too. You can't help but feel like Borges' writing is a Trojan Horse that communicates far more than what is on the page. I feel similarly about his work as I do about some of the epics I enjoyed as a kid, where even the parts that go over your head tend to boomerang and get lodged in your mind at unexpected moments. ",,,1,0,"https://m.media-amazon.com/images/I/51YJ07lluhL._AC_UF1000,1000_QL80_.jpg"
282445,The Dehumanization of Art and Other Essays,José Ortega y Gasset,,0691019614,4.5,3.81,Princeton University Press,Paperback,204,1968,1925,3/17/2024,3/15/2024,,,read,"A provocative set of essays from the 1920s-1930s about the changes taking place in art and culture in Europe at the time. Some call this a defense of modernism or a critique of post modernism in art but mostly it is just an attempt to describe the change. I found it thought provoking in terms of the emergence of AI art and the further dehumanization of art it represents. The political opinions show foresight uncommon for when he was writing, which I think contributes to its overall staying power as a collection.",,,1,0,"https://m.media-amazon.com/images/I/41t1TCQQ6lL._AC_UF1000,1000_QL80_.jpg"
922185,Seeing the Insane,Sander L. Gilman,,080327064X,4,4.18,University of Nebraska Press,Paperback,253,1996,1982,3/13/2024,3/8/2024,,,read,"I read this book as research for a paper I am writing at work, and found it stimulating. It is a jargon heavy piece of art history writing that covers depictions of the mentally ill from the Middle Ages all the way through Freud. The inclusion of illustrations throughout (250+) help drive points home and Gilman often lets the evidence (both in quotes and images) speak for itself. I was particularly interested in the relationship between images and psychiatric classifications which have a much closer history than I expected.  ",,,1,0,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1403185854i/22529468.jpg
787062,The Little Black Book of Style,Nina García,,0061234907,3,3.64,It Books,Hardcover,160,,2007,3/13/2024,1/6/2024,,,read,"I am very much not the target audience for this book, but as someone with very little personal style I found it entertaining. For people with more fashion knowledge it feels like the book probably reiterates things that people already know, but it was all new to me. The illustrations were beautiful and I  enjoyed the quote selections. Solid light read, even for men, especially if you have no fashion sense and love Project Runway like I do.",,,1,0,"https://m.media-amazon.com/images/I/51oTtsxMsJL._AC_UF1000,1000_QL80_.jpg"
64341,The Metamorphosis of Prime Intellect,Roger    Williams,,1411602196,4,4.12,Lulu.com,Paperback,175,2003,2006,3/9/2024,8/15/2023,,,read,"Incredibly, and I mean INCREDIBLY, disturbing novel. Distressingly blunt in its language, and rated X in its content matter. It works as an extreme implementation of a Huxleyan entertainment dystopia brought about by superhuman AI. Lawrence and Caroline are both excellent characters, but definitely not recommended reading unless you are okay with extreme violence and sexual content. ",,,1,0,https://files.readanybook.com/1042930/files/the-metamorphosis-of-prime-intellect.jpg
119688,Illness as Metaphor,Susan Sontag,,0374520739,4.5,3.96,"Farrar, Straus, Giroux",Paperback,87,1988,1978,3/9/2024,3/8/2024,,,read,"Only 100 pages so arguably more of an essay than a book. I found it really stimulating both emotionally and intellectually. On the surface, it details the use of tuberculosis and cancer in literature and culture. But you can feel an undercurrent of anger throughout. Which may relate to Sontag's cancer diagnosis and her rebellion against the idea that cancer is caused by the repression of anger that she says is prevalent when she was writing. Of note is her prescient observation that in the 20th century insanity had become romanticized. ",,,1,0,"https://m.media-amazon.com/images/I/51XJX4SYB0L._AC_UF1000,1000_QL80_.jpg"
321594,Dubliners,James Joyce,,0140042229,4.5,3.84,Penguin,Paperback,223,1983,1914,3/6/2024,5/21/2019,,,read,"I didn't expect to like this collection of Short Stories nearly as much as I did. A Painful Case, The Dead, An Encounter, and A Little Cloud were my favorites. A lot of people call this book depressing, but I think haunting is a better word. The stories are penetrating and believable as opposed to saccharine and overworked. I don't know many other authors who capture the heartbreak of being unable to escape who you are nearly as well as Joyce does here. ",,,1,0,https://www.southcoasttoday.com/gcdn/authoring/2019/03/16/NSTT/ghows-NB-843a2c73-3def-0b9b-e053-0100007fd671-7e338f22.jpeg
101160112,"Extremely Online: The Untold Story of Fame, Influence, and Power on the Internet",Taylor Lorenz,,1982146869,3.5,3.64,Simon & Schuster,Hardcover,384,2023,2023,3/3/2024,12/28/2023,,,read,"An enjoyable light read that surveys the early history of most major social media platforms that I can think of. I enjoyed the focus on users and culture as a welcome departure from the boring corporate history that usually fills journalism books of this type. When political issues were discussed I wasn't always fully on board with the framing, but generally I thought it was well researched and constructed. Say what you will about Taylor Lorenz, she gets 'new generation' vs  'next generation' thinking.",,,1,0,"https://m.media-amazon.com/images/I/71AlQ5NT3bL._AC_UF1000,1000_QL80_.jpg"
45916125,Language and Reality,Vilém Flusser,,,4,4.56,,,,,2009,2/24/2024,1/10/2024,,,read,,,,1,0,"https://m.media-amazon.com/images/I/41v4RunxLHL._AC_UF1000,1000_QL80_.jpg"
36613747,"How to Change Your Mind: What the New Science of Psychedelics Teaches Us About Consciousness, Dying, Addiction, Depression, and Transcendence",Michael Pollan,,0241294223,4,4.27,ALLEN LANE,Hardcover,480,2018,2018,2/19/2024,8/6/2022,,,read,,,,1,0,"https://m.media-amazon.com/images/I/71-1onPRCFL._AC_UF1000,1000_QL80_.jpg"
16158542,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,,067002581X,4,4.39,Viking,Hardcover,404,2013,2013,2/4/2024,2/2/2024,,,read,"One of those pop-nonfiction books that's not going to win any literature awards for the writing, but it doesn't really matter because the story is so good. Makes me optimistic for the movie they just released based on the book. I didn't realize how popular crew used to be as a sport in America, and this book serves as a good way to learn a lot of the basic rowing terminology and history. If you aren't a sports history or rowing fan, there's probably not a ton in this book for you. That said, there's a lot of insufficiently explored class conflicts that are mentioned and serve as good rabbit holes for further research. The way Penn tried to screw the Washington 8 out of their rightful Olympic spot through shady financial practices was one notable example I wish had been explored deeper.",,,1,1,"https://m.media-amazon.com/images/I/61dR6J09+QL._AC_UF1000,1000_QL80_.jpg"
59491493,What If?: Twenty-Two Scenarios in Search of Images,Vilém Flusser,"Anke Finger, Kenneth Kronenberg",1517913667,5,5,Univ Of Minnesota Press,Paperback,120,2022,,1/30/2024,8/11/2023,,,read,,,,1,1,"https://m.media-amazon.com/images/I/41SApn8rxiL._AC_UF1000,1000_QL80_.jpg"
37914603,An Early History of Malden,Frank Russell,,1467139416,3,3,The History Press,Paperback,144,2018,,1/28/2024,1/28/2024,,,read,,,,1,1,"https://m.media-amazon.com/images/I/817XwMnfBML._AC_UF1000,1000_QL80_.jpg"
2526,Blindness,José Saramago,Giovanni Pontiero,,5,4.17,Houghton Mifflin Harcourt Publishing Company,Paperback,326,1999,1995,1/27/2024,3/22/2023,,,read,"Continuing my trend of reading every dystopia novel I can find, Blindness was a thoroughly believable and well considered work. The juxtaposition of long flowing sentences (characteristic of a lot of Portuguese works I've read), and clear attention to detail made for a very singular reading experience. Without giving away too much, the book explores a small group of people caught up in a highly contagious blindness epidemic. Brutality comes up in a lot of other reviews I've read, and that's fitting but not in the way that would immediately jump to mind. The book is brutal without being gratuitous, instead focusing on the brutality of the government, of tribes, and of nature when humans are thrown into a situation where order is impossible to maintain. I recommend the book if you like dystopia novels, but with the caveat that it is not one for the squeamish or those looking for an easy read.",,,1,1,"https://m.media-amazon.com/images/I/71FeYR+eOVL._AC_UF1000,1000_QL80_.jpg"
318179,The Gospel of Wealth and Other Writings,Andrew Carnegie,David Nasaw,014303989X,2,3.7,Penguin Classics,Paperback,128,2006,1901,1/21/2024,1/19/2024,,,read,"If Carnegie really was the most philanthropic of the robber barons, all I can say is it's a great thing we got Teddy Roosevelt when we did. The arrogant, patronizing, highly reductionist tone of most of the essays was nearly unbearable. Half of the essays were devoted to just name dropping random other contemporaries who Carnegie either liked or didn't like. Gospel of Wealth II was at least interesting and provided a solid argument for massively raising estate taxes. And his arguments about business leaders being responsible for using their wealth to manage projects that serve no purpose other than community enrichment in addition to using their skills to enrich themselves was novel for its time and among the soundest of his arguments. But overall the essays are very hard to read, rely on appeals to Jesus in ways Jesus certainly wouldn't approve of, and is something to read more as a historical document and primary source than an insightful source for modern relevance. Carnegie embodies the ""Pull yourself up by your bootstraps"" ideology in a radical form.",,,1,1,"https://m.media-amazon.com/images/I/917hWe9rL7L._AC_UF1000,1000_QL80_.jpg"
25499718,Children of Time,Adrian Tchaikovsky,,1447273281,4.5,4.3,PanMacmillan,Hardcover,608,2015,2015,1/18/2024,12/26/2023,science-fiction,science-fiction (#14),read,"No piece of content has ever worked harder to get me to like spiders than this book. If you aren't interested in what a highly evolved spider civilization might look like, this probably isn't the science fiction novel for you. Alternating between a late stage terraforming experiment and the last remaining ship of humans after the collapse of civilization on Earth, this book explores communication, evolution, language, and time in thoughtful and compelling ways. I am a sucker for any book daring enough to make a classicist a main character. More of a page turner than a dense piece of literature, so don't be intimidated by its long length. I think this would make for a fascinating film adaptation someday. I will probably read the two sequels eventually.",,,1,1,"https://m.media-amazon.com/images/I/81Xb8fFEkwL._AC_UF1000,1000_QL80_.jpg"
21402279,How the Conquest of Indigenous Peoples Parallels the Conquest of Nature (Annual E. F. Schumacher Lectures),John Mohawk,Hildegarde Hannum,,4,4.67,Schumacher Center for a New Economics,Kindle Edition,23,2013,2013,1/14/2024,3/20/2023,,,read,,,,1,1,https://m.media-amazon.com/images/I/41gTMMxPx5L.jpg
770911,The Sacred Pipe: Black Elk's Account of the Seven Rites of the Oglala Sioux,Black Elk,Joseph Epes Brown,806121246,3.5,4.24,University of Oklahoma Press,Paperback,143,1989,1953,1/8/2024,1/2/2024,,,read,"An insightful, if dry, recording of the major holy rituals of the Sioux tribe. Written by religious studies scholar Joseph Epes Brown after meeting with Black Elk. It was particularly fascinating how Black Elk's Catholicism from his later years bleeds into his reporting of the rites of the Sioux. Some of it appears to be an attempt to present information in a way white people would understand, but other parts read as a fascinating case of religious convergent evolution. My biggest takeaway was that we should be spending way more money on restoring the Buffalo populations in the plains. The decision to all but eradicate them constituted a massive spiritual crime against the land and the plains tribes. Though the near extinction of the Buffalo was not as shocking or directly evil as the fact that the Sioux rite of ""keeping of the soul"" was banned until 1890 and that there was a certain day every year that they were required to release all the souls they had kept.",,,1,1,"https://m.media-amazon.com/images/I/61qa5PHEQwL._AC_UF1000,1000_QL80_.jpg"
7701911,Cahokia: Ancient America's Great City on the Mississippi,Timothy R. Pauketat,,143117475,3.5,3.63,Penguin Books,Paperback,208,2010,2009,1/7/2024,1/1/2024,,,read,,,,1,1,"https://m.media-amazon.com/images/I/61Uqjxyk8+L._AC_UF1000,1000_QL80_.jpg"
256143,Microcosmographia Academica,Francis Macdonald Cornford,,890053189,4,4.02,Ares Publications (Chicago),Paperback,32,1995,1908,1/2/2024,3/22/2023,,,read,,,,1,0,https://pictures.abebooks.com/inventory/19372237514.jpg
41081325,The Artificial Silk Girl,Irmgard Keun,,241382963,4,3.66,Penguin Classics,Paperback,144,2019,1932,12/30/2023,4/10/2023,,,read,"Cleverly subversive, remarkably funny.",,,1,1,"https://m.media-amazon.com/images/I/81ZVxitO5oL._AC_UF1000,1000_QL80_.jpg"
25891345,Designing Freedom,Stafford Beer,,1770896074,3.5,4.17,House of Anansi Press,Kindle Edition,112,1993,1974,12/25/2023,3/1/2023,,,read,,,,1,1,"https://m.media-amazon.com/images/I/611UmhgnIgL._AC_UF1000,1000_QL80_.jpg"
1519725,The Shattered Mind,Howard Gardner,,394719468,3.5,4.04,Vintage,Paperback,481,1976,1975,12/18/2023,10/9/2023,,,read,,,,1,1,"https://m.media-amazon.com/images/I/51ZQY35F9YL._AC_UF1000,1000_QL80_.jpg"
9593,Galápagos,Kurt Vonnegut Jr.,,385333870,4,3.87,Dial Press Trade Paperback,Paperback,324,1999,1985,12/16/2023,12/16/2023,,,read,,,,1,1,"https://m.media-amazon.com/images/I/71Sm78bnb5L._AC_UF1000,1000_QL80_.jpg"
539477,Letters to a Young Poet,Rainer Maria Rilke,Rainer Maria Rilke,394741048,5,4.3,Vintage,Mass Market Paperback,112,1984,1929,12/11/2023,12/11/2023,,,read,,,,1,1,"https://m.media-amazon.com/images/I/61e0cpN2xmL._AC_UF1000,1000_QL80_.jpg"
16128900,September: Poems,Rachel Jamison Webster,,810152312,3,4.19,TriQuarterly,Paperback,104,2013,2013,12/8/2023,4/14/2023,,,read,,,,1,1,"https://m.media-amazon.com/images/I/61UyCObLIxL._AC_UF1000,1000_QL80_.jpg"
20423832,The Passionate State of Mind and Other Aphorisms,Eric Hoffer,,,4,4.31,Perennial Library,Mass Market Paperback,143,1955,1955,12/4/2023,8/5/2023,,,read,,,,1,1,"https://m.media-amazon.com/images/I/81F9jPcAc8L._AC_UF1000,1000_QL80_.jpg"
58082213,Healing: Our Path from Mental Illness to Mental Health,Thomas Insel MD,,593298047,4,4.21,Penguin Press,Hardcover,336,2022,,12/3/2023,8/6/2022,,,read,,,,1,1,"https://m.media-amazon.com/images/I/71Hff2iYlwL._AC_UF1000,1000_QL80_.jpg"
1642216,Ten Days in a Mad-House,Nellie Bly,Karine Ribeiro,,4,3.86,Norman L. Munro,,92,1887,1887,11/28/2023,3/24/2023,,,read,,,,1,1,https://upload.wikimedia.org/wikipedia/commons/4/49/Madhousecvr.jpg
71977,The Pursuit of Loneliness: American Culture at the Breaking Point,Philip Slater,Todd Gitlin,807042013,3.5,4.08,Beacon Press,Paperback,208,1990,1970,11/24/2023,3/16/2023,,,read,,,,1,1,https://images.squarespace-cdn.com/content/v1/5e0e53fe0dd3812c95162a33/1578104174948-7T7ZDHGGKR0D67P5A2M2/Pursuit_of_Loneliness_PhilipSlater_BookCovers.jpg
24723229,"The Devil's Chessboard: Allen Dulles, the CIA, and the Rise of America's Secret Government",David Talbot,,62276166,3.5,4.33,Harper,Hardcover,704,2015,2015,11/20/2023,9/24/2023,,,read,,,,1,1,"https://m.media-amazon.com/images/I/71dyJ3AehIL._AC_UF1000,1000_QL80_.jpg"
7855232,"Helplessness: On Depression, Development, and Death (Series of Books in Psychology)",Martin E.P. Seligman,,716707519,4,3.92,W.H. Freeman & Company,Paperback,250,1975,1975,11/20/2023,11/15/2023,,,read,,,,1,1,"https://m.media-amazon.com/images/I/81NpUJesHWL._AC_UF1000,1000_QL80_.jpg"
931986,Stigma: Notes on the Management of Spoiled Identity,Erving Goffman,,671622447,4.5,3.96,Touchstone,Paperback,168,1986,1963,11/14/2023,3/24/2023,,,read,,,,1,1,"https://m.media-amazon.com/images/I/714P0BxefPL._AC_UF1000,1000_QL80_.jpg"
86598,Discourse on Colonialism,Aimé Césaire,Joan Pinkham,1583670254,3,4.42,Monthly Review Press,Paperback,102,2001,1950,10/30/2023,10/29/2023,,,read,,,,1,1,"https://m.media-amazon.com/images/I/51ED3w+9cbL._AC_UF1000,1000_QL80_.jpg"
59664,Travels with Herodotus,Ryszard Kapuściński,,1400043387,4.5,4.05,Knopf,Hardcover,288,2007,2004,10/29/2023,3/22/2023,,,read,,,,1,1,https://m.media-amazon.com/images/I/51qeBfVlCML.jpg
45876,Psychotherapy East and West,Alan W. Watts,,394716094,4,4.14,Vintage,Paperback,196,1975,1961,10/7/2023,2/21/2023,,,read,,,,1,1,"https://m.media-amazon.com/images/I/51EES89YJ6L._AC_UF1000,1000_QL80_.jpg"
