Book Id,Title,Author,Additional Authors,ISBN,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,Cover Image URL
954563,Satirical Sketches,Lucian of Samosata,Paul  Turner,253360978,5,4.19,Indiana University Press,Hardcover,324,1990,1961,9/12/2023,9/7/2023,,,read,,,,1,1,"https://m.media-amazon.com/images/I/71BkJ3TnpUL._AC_UF1000,1000_QL80_.jpg"
56212907,The Waste Land and Other Poems (Vintage Classics),T.S. Eliot,,593313348,3.5,4.22,Vintage,Paperback,85,2021,1922,9/3/2023,9/1/2023,,,read,,,,1,1,"https://m.media-amazon.com/images/I/81sQ7s1r3yL._AC_UF1000,1000_QL80_.jpg"
205803,"July, July",Tim O'Brien,,142003387,4,3.47,Penguin Books,Paperback,320,2003,2002,8/31/2023,8/31/2023,,,read,,,,1,1,https://m.media-amazon.com/images/I/61AbpfucWOL.jpg
13562132,We,Yevgeny Zamyatin,"Natasha Randall, Bruce Sterling",,5,3.89,Modern Library,Paperback,203,2006,1924,8/26/2023,8/23/2023,"matts-recommended, science-fiction","matts-recommended (#14), science-fiction (#15)",read,"We is officially my new favorite dystopia novel. Serving as clear inspiration for both Brave New World and 1984, this 1921 Russian novel manages to warn readers about both Big Brother surveillance and  hedonistic erosion of freedom. Following a mathematician as he develops the “illness” of a soul that causes him friction with the religious and political force of the One State, it is both a gripping romantic drama and poignant piece of political satire. If you read one dystopia novel on my recommendation, it should be this one. ",,,1,1,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1627438181i/76171.jpg
9331,The House of the Spirits,Isabel Allende,,553273914,5,4.28,Bantam,Mass Market Paperback,433,1986,1982,8/22/2023,8/11/2023,matts-recommended,matts-recommended (#15),read,"The first book to make me cry multiple times since the Goldfinch by Donna Tartt. This sweeping family epic is certainly one of my favorite books I’ve read in 2023, and likely will continue creeping up my all time rankings as I find myself ambiently thinking of this book often. Very few books honestly capture humans in their full contradiction and complexity, but this book does it for generation after generation of characters. A masterpiece of magical realism and literature, with thought provoking political, romantic, and ethical subplots, I only wish I could read Spanish to fully understand the depth of this novel.",,,1,1,"https://m.media-amazon.com/images/I/81V76D1odlL._AC_UF1000,1000_QL80_.jpg"
59013352,The Undiscovered Self,C.G. Jung,,,4,4.14,Princeton University Press ,Paperback,176,2010,1961,8/9/2023,8/8/2023,,,read,,,,1,0,"https://m.media-amazon.com/images/I/71WbHkWRUeL._AC_UF1000,1000_QL80_.jpg"
2723445,"Five Lectures: Psychoanalysis, Politics and Utopia",Herbert Marcuse,,807015482,3,3.69,Beacon Press,Hardcover,109,1970,1970,8/4/2023,8/4/2023,,,read,,,,1,0,"https://m.media-amazon.com/images/I/41-mDkP+xmL._AC_UF1000,1000_QL80_.jpg"
29496076,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,,385534256,4,4.15,Doubleday,ebook,359,2017,2017,7/26/2023,7/24/2023,,,read,,,,1,0,"https://m.media-amazon.com/images/I/61MhIlXWJbL._AC_UF1000,1000_QL80_.jpg"
19793789,Three Famous Short Novels: Spotted Horses/Old Man/The Bear,William Faulkner,,,4,3.83,Vintage International,Kindle Edition,352,2011,1958,7/24/2023,7/10/2023,,,read,,,,1,0,"https://m.media-amazon.com/images/I/61h3E4aO3uL._AC_UF1000,1000_QL80_.jpg"
297573,Anthology of Korean Literature: From Early Times to the Nineteenth Century (UNESCO Collection of Representative Works: Japanese Series),Peter H. Lee,,824807561,4,3.96,University of Hawaii Press,Paperback,342,1983,1981,7/22/2023,7/22/2023,,,read,,,,1,0,"https://m.media-amazon.com/images/I/71qrO403dbL._AC_UF1000,1000_QL80_.jpg"
1061195,Habit,William  James,,766172198,4,4.02,Kessinger Publishing,Paperback,,2003,2003,7/17/2023,7/17/2023,,,read,,,,1,0,https://i0.wp.com/www.themarginalian.org/wp-content/uploads/2012/09/williamjames_habit.jpg
68418683,Limits To Medicine,Ivan Illich,,,5,4.02,Penguin UK,Paperback,304,1977,1974,7/10/2023,3/20/2023,,,read,"The most exhaustively citation filled book that I have ever read. This thorough critique of the health professions makes the case that the decision to turn the art of healing into the cold science of medicine has done as much harm as it has alleviated. He criticizes  the way the unique individual is being replaced by the statistical person, and he investigates the over-medicalization of American society and the commodification of health. Like most critical theory, it fails to provide much direction on what to do about our predicament— but the critique is solid.",,,1,0,"https://m.media-amazon.com/images/I/61mV8FSqkZL._AC_UF1000,1000_QL80_.jpg"
375369,The Two Cultures,C.P. Snow,Stefan Collini,521457300,4.5,3.66,Cambridge University Press,Paperback,181,1993,1959,7/8/2023,7/8/2023,,,read,,,,1,0,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1424079387i/375369.jpg
6288,The Road,Cormac McCarthy,,307265439,4.5,3.99,Alfred A. Knopf,Hardcover,241,2006,2006,6/15/2023,3/22/2023,,,read,,,,1,0,https://images.penguinrandomhouse.com/cover/9780307387899
1383945,Spring and All,William Carlos Williams,,,5,4.13,Maurice Darantiere,Hardcover,96,1923,1923,6/14/2023,6/14/2023,,,read,,,,1,0,https://cdn.sanity.io/images/p34gzxcg/production/ed2fc5155fdceb87efd5917afde926f0f2f1919c-1420x2243.jpg?auto=format&w=1000&fit=scale
84981,Tuck Everlasting,Natalie Babbitt,,374480095,4.5,3.9,"Farrar, Straus and Giroux (BYR)",Paperback,148,1985,1975,6/14/2023,6/14/2023,,,read,,,,1,0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1445184695l/84981.jpg
287804,The Present Age,Søren Kierkegaard,Alexander Dru,61300942,3.5,4.05,Harper Torchbooks,Paperback,108,1962,1846,6/13/2023,6/8/2023,,,read,,,,1,0,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347447612i/287804.jpg
646141,The Courage to Create,Rollo May,,393311066,4,4.09,W. W. Norton & Company,Paperback,144,1994,1975,6/8/2023,3/7/2023,,,read,,,,1,0,"https://m.media-amazon.com/images/I/514U8jHx+KL._AC_UF1000,1000_QL80_.jpg"
161744,Common Sense,Thomas Paine,George Vafiadis,143036254,4,3.99,Penguin,Paperback,104,2005,1776,6/7/2023,6/7/2023,,,read,,,,1,0,https://upload.wikimedia.org/wikipedia/commons/4/4a/Commonsense.jpg
13155290,Several Short Sentences About Writing,Verlyn Klinkenborg,,307266346,4,4.13,Knopf,Hardcover,224,2012,2012,6/2/2023,4/12/2023,,,read,,,,1,0,"https://m.media-amazon.com/images/I/71LG3abLGFL._AC_UF1000,1000_QL80_.jpg"
193755,The Diving Bell and the Butterfly,Jean-Dominique Bauby,Jeremy Leggatt,375701214,4,3.98,Vintage,Paperback,132,1998,1997,5/31/2023,5/30/2023,,,read,,,,1,0,"https://m.media-amazon.com/images/I/81lOtMfMNfL._AC_UF1000,1000_QL80_.jpg"
296977,Looking Backward: 2000-1887,Edward Bellamy,Walter James Miller,451527631,4.5,3.29,Signet Classics,Paperback,222,2000,1888,5/30/2023,3/18/2023,science-fiction,science-fiction (#16),read,,,,1,0,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1309284869i/296977.jpg
286957,The Yellow Wall-Paper,Charlotte Perkins Gilman,Elaine Hedges,1558611584,4,4.1,The Feminist Press at CUNY,Paperback,64,1996,1892,5/18/2023,3/24/2023,,,read,,,,1,0,https://upload.wikimedia.org/wikipedia/commons/4/40/The_Yellow_Wall_Paper_pg_1.jpg
108783855,"Memorial to the Legislature of Massachusetts, 1843 (Classic Reprint)",Dorothea Lynde Dix,,1397693266,4,4,Forgotten Books,Paperback,37,2018,,5/16/2023,3/24/2023,,,read,,,,1,0,"https://m.media-amazon.com/images/I/611ov+xbhFL._AC_UF1000,1000_QL80_.jpg"
9589,Hocus Pocus,Kurt Vonnegut Jr.,,425161293,3.5,3.83,Berkley Books,Paperback,322,1997,1990,5/10/2023,5/1/2023,,,read,,,,1,0,https://upload.wikimedia.org/wikipedia/en/e/e6/HocusPocus%28Vonnegut%29.jpg
61354484,Meditations: A New Translation,Marcus Aurelius,Gregory Hays,,4,4.52,,Paperback,,2021,,5/5/2023,5/5/2023,,,read,,,,1,0,"https://m.media-amazon.com/images/I/81T-PQ9HFTL._AC_UF1000,1000_QL80_.jpg"
12898,Death of a Salesman,Arthur Miller,,435233076,4,3.57,Heinemann,Hardcover,144,1994,1949,4/30/2023,5/21/2019,,,read,,,,1,0,"https://m.media-amazon.com/images/I/61vKF4uHQ+L._AC_UF1000,1000_QL80_.jpg"
410810,Notes of a Native Son,James Baldwin,,807064319,4,4.37,Beacon Press,Paperback,192,1984,1955,4/30/2023,4/27/2023,,,read,,,,1,0,https://upload.wikimedia.org/wikipedia/en/8/8b/NotesOfANativeSon.JPG
4009,Nine Stories,J.D. Salinger,,316767727,4,4.18,"Little, Brown and Company",Paperback,302,2001,1953,4/25/2023,4/25/2023,,,read,,,,1,0,"https://m.media-amazon.com/images/I/61HQGgJi6WL._AC_UF1000,1000_QL80_.jpg"
41160292,Exhalation,Ted Chiang,,,4.5,4.28,Knopf,Kindle Edition,368,2019,2019,4/16/2023,4/13/2023,science-fiction,science-fiction (#17),read,,,,1,0,"https://m.media-amazon.com/images/I/71eT4lRAyBL._AC_UF1000,1000_QL80_.jpg"
26810258,Seven Brief Lessons on Physics,Carlo Rovelli,"Erica Segre, Simon Carnell",,3,3.98,Penguin,Kindle Edition,108,2015,2014,4/14/2023,1/5/2016,,,read,,,,1,0,"https://m.media-amazon.com/images/I/81KgHnSaHbL._AC_UF1000,1000_QL80_.jpg"
5481,Brave New World Revisited,Aldous Huxley,,60898526,3.5,3.94,Harper Perennial Modern Classics,Paperback,123,2006,1958,4/13/2023,4/12/2023,,,read,,,,1,0,"https://m.media-amazon.com/images/I/91-3+9SMVjL._AC_UF1000,1000_QL80_.jpg"
351994,Lord Weary's Castle; The Mills of the Kavanaughs (Harvest/HBJ Book),Robert Lowell,,156535009,3,3.83,Ecco,Paperback,132,1968,1968,4/10/2023,4/8/2023,,,read,,,,1,0,"https://m.media-amazon.com/images/I/7144ZolMF0L._AC_UF1000,1000_QL80_.jpg"
4985,Welcome to the Monkey House,Kurt Vonnegut Jr.,Курт Воннегут,385333501,4,4.13,Dial Press Trade Paperbacks,Paperback,331,2013,1968,4/8/2023,4/8/2023,,,read,,,,1,0,https://m.media-amazon.com/images/I/41A6qmkGNrL._SY445_SX342_.jpg
49455,Notes from Underground,Fyodor Dostoevsky,"Richard Pevear, Larissa Volokhonsky, Donald Fanger",067973452X,4,4.18,Vintage Classics,Paperback,136,1994,1864,3/27/2023,3/27/2023,,,read,,,,1,0,"https://m.media-amazon.com/images/I/61hKIP5eo-L._AC_UF1000,1000_QL80_.jpg"
26077627,A Grief Observed,C.S. Lewis,,,4,4.22,Harper One,Paperback,76,2015,1961,3/23/2023,3/1/2023,,,read,,,,1,0,"https://m.media-amazon.com/images/I/81JdwoY6+hL._AC_UF1000,1000_QL80_.jpg"
174876,A Way of Being,Carl R. Rogers,Irvin D. Yalom,395755301,5,4.23,Mariner Books,Paperback,395,1995,1980,3/23/2023,11/11/2022,,,read,,,,1,0,"https://m.media-amazon.com/images/I/61bVqD4tpEL._AC_UF1000,1000_QL80_.jpg"
30672,Darkness at Noon,Arthur Koestler,Daphne Hardy,553265954,5,4.11,Bantam Books,Mass Market Paperback,216,1984,1940,3/21/2023,3/11/2023,,,read,,,,1,0,"https://m.media-amazon.com/images/I/71hdXzI+Z3L._AC_UF1000,1000_QL80_.jpg"
4979,A Man Without a Country,Kurt Vonnegut Jr.,Daniel Simon,081297736X,3.5,4.09,Random House Trade Paperbacks,Paperback,145,2007,2005,3/2/2023,3/2/2023,,,read,,,,1,0,"https://m.media-amazon.com/images/I/613wj2pwCaL._AC_UF1000,1000_QL80_.jpg"
16093149,The Forgotten Presidents: Their Untold Constitutional Legacy,Michael J. Gerhardt,,1299457886,4,3.68,Oxford University Press ,ebook,336,2013,2013,2/26/2023,6/14/2021,,,read,,,,1,0,"https://m.media-amazon.com/images/I/813zWA5L-9L._AC_UF1000,1000_QL80_.jpg"
7815,The Year of Magical Thinking,Joan Didion,,1400078431,4.5,3.93,Vintage,Paperback,227,2007,2005,2/20/2023,2/5/2023,,,read,,,,1,0,"https://m.media-amazon.com/images/I/71maRKoYe3L._AC_UF1000,1000_QL80_.jpg"
59808603,The Mountain in the Sea,Ray Nayler,,374605955,5,3.97,MCD,Hardcover,456,2022,2022,1/21/2023,11/8/2022,"matts-recommended, science-fiction","matts-recommended (#13), science-fiction (#1)",read,"A creative and engaging science fiction novel that serves as a compelling examination of consciousness— exploring everything from artificial intelligences to octopuses. This was only the second or third science fiction book I’ve read that felt like it understood modern technology, culture, and institutions, allowing it to deliver a lot of real-world wisdom. Probably the most enjoyable book I read in 2023. I would pay an unreasonable amount of money for a 0.5, which I won’t explain further to avoid spoilers. ",,,1,0,"https://m.media-amazon.com/images/I/71dd-exNKKL._AC_UF1000,1000_QL80_.jpg"
3828902,Thinking In Systems: A Primer,Donella H. Meadows,Diana Wright,1603580557,4,4.21,Chelsea Green Publishing,Paperback,218,2008,2008,1/15/2023,1/8/2023,,,read,,,,1,0,"https://m.media-amazon.com/images/I/51V4oNS0BSL._AC_UF1000,1000_QL80_.jpg"
20518872,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,"Ken Liu, Cixin Liu",,4.5,4.09,Tor Books,Hardcover,472,2014,2006,1/8/2023,10/19/2022,science-fiction,science-fiction (#11),read,,,,1,0,"https://m.media-amazon.com/images/I/919XM42JQlL._AC_UF1000,1000_QL80_.jpg"
35476,Black Elk Speaks: Being the Life Story of a Holy Man of the Oglala Sioux,John G. Neihardt,Black Elk,803283857,5,4.12,Bison Books,Paperback,312,2005,1932,12/11/2022,3/7/2022,,,read,,,,1,0,https://unebraskapress-us.imgix.net/covers/9780803283916.jpg?auto=format&w=298
830364,Profiles in Courage,John F. Kennedy,,60530626,4,3.92,Harper,Hardcover,245,2003,1955,11/29/2022,1/5/2016,,,read,,,,1,0,https://upload.wikimedia.org/wikipedia/commons/6/65/Profiles_in_Courage_Front_Cover_%281956_first_edition%29.jpg
13795345,"Vampyroteuthis Infernalis: A Treatise, with a Report by the Institut Scientifique de Recherche Paranaturaliste (Volume 23) (Posthumanities)",Vilém Flusser,Louis Bec,816678227,4.5,4.17,Univ Of Minnesota Press,Paperback,112,2012,1993,11/20/2022,10/18/2022,,,read,,,,1,0,https://m.media-amazon.com/images/I/51w-I3u+tQL._SY445_SX342_.jpg
15916,The True Believer: Thoughts on the Nature of Mass Movements,Eric Hoffer,,60505915,5,4.21,Harper Perennial Modern Classics,Paperback,177,2010,1951,11/8/2022,11/5/2022,,,read,,,,1,0,"https://m.media-amazon.com/images/I/719od5O5bpL._AC_UF1000,1000_QL80_.jpg"
51505,"Lectures and Conversations on Aesthetics, Psychology and Religious Belief",Ludwig Wittgenstein,Cyril Barrett,520013549,3,3.84,University of California Press (Berkeley),Paperback,80,1966,1966,10/31/2022,10/31/2022,,,read,,,,1,0,https://www.findbooks.com/assets/images/product/230806-RD47_1.jpg
270440,Invitation to Archaeology,James Deetz,,385071566,3.5,3.72,American Museum Science Books,Paperback,150,1967,1967,10/18/2022,10/18/2022,,,read,"“Artifacts are man-man objects; they are also fossilized ideas”This brief introduction to archaeology has aged remarkably well. It covers most of the basic strategies used in excavation and archaeological analysis incredibly well— managing to be both concise and informative at the same time. There are some longer dry sections attempting to do things like apply linguistic models to archaeology, and utilize other contemporary social science tactics that have since fallen out of favor. But we can hardly hold that against the book, as Deetz self admits that his field of archaeology was in its infancy at the time of his writing. He maintains a clear distinction between his ideas and generally accepted archaeological ideas and his future section at the end predicts the rise of computer relevancy to archaeological practice. Archaeology students may find this work to be a bit outdated and simple, but for the general reader curious about archaeology this is a great place to start. ",,,1,0,"https://m.media-amazon.com/images/I/61bScxpFXmL._AC_UF1000,1000_QL80_.jpg"
110050,We: Understanding the Psychology of Romantic Love,Robert A. Johnson,,62504363,4,4.19,HarperOne,Paperback,204,2009,1945,9/14/2022,9/13/2022,,,read,,,,1,0,"https://m.media-amazon.com/images/I/61POA3rzWCL._AC_UF1000,1000_QL80_.jpg"
17333223,The Goldfinch,Donna Tartt,,316055433,5,3.94,"Little, Brown",Hardcover,864,2013,2013,9/13/2022,8/6/2022,matts-recommended,matts-recommended (#7),read,,,,1,0,https://www.hachettebookgroup.com/wp-content/uploads/2017/06/9780316055437.jpg
16128865,Post-History (Univocal),Vilém Flusser,Rodrigo Maltez Novaes,1937561097,5,4.34,Univocal Publishing,Paperback,170,2013,1993,8/9/2022,8/6/2022,matts-recommended,matts-recommended (#9),read,,,,1,0,"https://m.media-amazon.com/images/I/81HGQdFwqfL._AC_UF1000,1000_QL80_.jpg"
42729353,The War for Kindness: Building Empathy in a Fractured World,Jamil Zaki,,451499247,5,3.96,Crown,Hardcover,263,2019,,8/1/2022,8/6/2022,matts-recommended,matts-recommended (#10),read,,,,1,0,https://m.media-amazon.com/images/I/41CAYE36qVL.jpg
4980,Breakfast of Champions,Kurt Vonnegut Jr.,,385334206,4,4.07,Dell Publishing,Paperback,303,1999,1973,5/18/2022,5/18/2022,,,read,,,,1,0,"https://m.media-amazon.com/images/I/71YxzPUlH4L._AC_UF1000,1000_QL80_.jpg"
29580,"Second Foundation (Foundation, #3)",Isaac Asimov,,553803735,4,4.27,Bantam Spectra,Hardcover,256,2004,1953,4/15/2022,5/30/2022,science-fiction,science-fiction (#7),read,,,,1,0,https://speakertoanimals.files.wordpress.com/2012/12/second-foundation-avon.jpg?w=584
29581,"Foundation and Empire (Foundation, #2)",Isaac Asimov,,553803727,4,4.22,Spectra,Hardcover,256,2004,1952,4/10/2022,5/30/2022,science-fiction,science-fiction (#8),read,,,,1,0,https://m.media-amazon.com/images/I/41myT-zkJdL._UX250_.jpg
29579,"Foundation (Foundation, #1)",Isaac Asimov,,553803719,4,4.17,Bantam,Hardcover,244,2004,1951,4/5/2022,5/18/2022,science-fiction,science-fiction (#6),read,,,,1,0,"https://m.media-amazon.com/images/I/51w1oxkGf8L._AC_UF1000,1000_QL80_.jpg"
50909,"The Surgeon of Crowthorne: A Tale of Murder, Madness & the Love of Words",Simon Winchester,,,4,3.84,Penguin,Paperback,207,1999,1998,3/23/2022,5/18/2022,,,read,,,,1,0,"https://m.media-amazon.com/images/I/61svTaksrJL._AC_UF1000,1000_QL80_.jpg"
58133534,Woke Racism: How a New Religion Has Betrayed Black America,John McWhorter,,593423062,3,3.95,Portfolio,Hardcover,224,2021,2021,2/25/2022,5/18/2022,,,read,,,,1,0,https://images.wsj.net/im-417843
40265832,How to Be an Antiracist,Ibram X. Kendi,,525509283,3,4.38,One World,Hardcover,305,2019,2019,2/4/2022,5/18/2022,,,read,,,,1,0,"https://m.media-amazon.com/images/I/81N8oOm6nES._AC_UF1000,1000_QL80_.jpg"
4982,The Sirens of Titan,Kurt Vonnegut Jr.,"Ligia Caranfil, Chris     Moore",,5,4.15,Gollancz,Paperback,224,1999,1959,5/21/2019,5/20/2018,"matts-recommended, science-fiction","matts-recommended (#6), science-fiction (#2)",read,,,,1,0,"https://m.media-amazon.com/images/I/51BLQakkiOL._AC_UF1000,1000_QL80_.jpg"
35220,The Red Badge of Courage,Stephen Crane,,1580495869,3.5,3.28,"Clayton, Del. : Prestwick House Literary Touchstone Classics,",Paperback,149,2006,1895,1/21/2016,1/8/2016,,,read,,,,1,0,https://upload.wikimedia.org/wikipedia/commons/e/e0/TheRedBadgeOfCourage.jpg
